arcos_all_washpost_shuf5000
REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDL_CO_INFO,BUYER_ADDRESS1,BUYER_ADDRESS2,BUYER_CITY,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,NDC_NO,DRUG_NAME,QUANTITY,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,TRANSACTION_ID,Product_Name,Ingredient_Name,Measure,MME_Conversion_Factor,Combined_Labeler_Name,Revised_Company_Name,Reporter_family,dos_str
PM0001951,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,4836 SOUTHRIDGE BLVD,MEMPHIS,TN,38141,SHELBY,BR5933646,CHAIN PHARMACY,ECKERD CORPORATION,RITE AID #11867,1493 MADISON STREET,null,CLARKSVILLE,TN,37040,MONTGOMERY,S,9143,406853001,OXYCODONE,10.0,null,null,106705167,null,null,9162011,26.895,1000.0,1109012246,OXYCODONE HYDROCHLORIDE 30MG TABLET,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,McKesson Corporation,30.0
PM0150538,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO,710 132ND STREET SW,EVERETT,WA,98204,SNOHOMISH,BC1750428,CHAIN PHARMACY,COSTCO WHOLESALE CORPORATION,null,DBA COSTCO PHARMACY#61,35100 ENCHANTED PARKWAY SOUTH,FEDERAL WAY,WA,98003,KING,S,9143,406851501,OXYCODONE,4.0,null,null,77365334,null,null,6052008,5.379,400.0,806020167,OXYCODONE HYDROCHLORIDE 15MG TABLETS,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,McKesson Corporation,15.0
RW0216449,DISTRIBUTOR,CARDINAL HEALTH,null,27680 AVENUE MENTRY,null,VALENCIA,CA,91355,LOS ANGELES,BW7920401,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 06931,10407 SANTA MONICA BLVD,null,LOS ANGELES,CA,90025,LOS ANGELES,S,9193,74194914,HYDROCODONE,1.0,null,null,null,null,0,1072009,0.3027,100.0,901004654,VICODIN TABLETS 5MG HYDROCODONE.BIT,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,AbbVie Inc.,AbbVie Inc.,Cardinal Health,5.0
RM0145347,DISTRIBUTOR,"CVS PHARMACY, INC.",null,3 BERRY DRIVE,null,LUMBERTON,NJ,8048,BURLINGTON,BT0961373,CHAIN PHARMACY,"CVS ALBANY, L.L.C.",DBA: CVS/PHARMACY  # 00807,1024 BROADWAY,THORNWOOD CENTER,THORNWOOD,NY,10594,WESTCHESTER,S,9193,785635001,HYDROCODONE,1.0,null,null,null,null,null,10042007,0.6054,100.0,10651,LORCET HYD.BIT10MG/ACET650MG TAB,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Forest Laboratories, Inc.","Forest Laboratories, Inc.",CVS,10.0
RM0314790,DISTRIBUTOR,MORRIS & DICKSON CO,null,10301 HIGHWAY 1 SOUTH,null,SHREVEPORT,LA,71115,CADDO,BJ4058156,RETAIL PHARMACY,JOHNNY'S HOMETOWN PHARMACY,JOHNNYS HOMETOWN PHARMACY,"303 EAST RAY FINE BLVD, SUITE 1",P O BOX 1600,ROLAND,OK,74954,SEQUOYAH,S,9143,603499121,OXYCODONE,2.0,null,null,11X000205,null,null,10062011,2.6895,200.0,13487,OXYCODONE HCL 15MG USP TABLETS,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Morris & Dickson Co,15.0
RW0231908,DISTRIBUTOR,CARDINAL HEALTH,null,2353 PROSPECT DR,null,AURORA,IL,60502,DUPAGE,BK8617067,CHAIN PHARMACY,KMART PHARMACY #7402,null,3175 WEST THIRD ST,null,BLOOMINGTON,IN,47404,MONROE,S,9193,406035801,HYDROCODONE,5.0,null,null,null,null,0,6112007,2.27025,500.0,706023635,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,7.5
PN0033857,DISTRIBUTOR,N C MUTUAL WHOLESALE DRUG CO,null,816 ELLIS RD,null,DURHAM,NC,27703,DURHAM,BR8745626,RETAIL PHARMACY,"HOME TOWN DISCOUNT PHARMACY OF GREENVILLE, INC",null,MEDICAL SUPPLIES,1631 SOUTHEAST GREENVILLE BLVD,GREENVILLE,NC,27858,PITT,S,9193,406036501,HYDROCODONE,1.0,null,null,null,null,null,10282009,0.3027,100.0,6932,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,N C Mutual Wholesale Drug Co,5.0
RO0153609,DISTRIBUTOR,CARDINAL HEALTH,null,71 MIL-ACRES DR,null,WHEELING,WV,26003,OHIO,FW0012776,CHAIN PHARMACY,WEIS PHARMACY #179,null,2 THURMONT BOULEVARD,null,THURMONT,MD,21788,FREDERICK,S,9193,53746011001,HYDROCODONE,1.0,null,null,null,null,null,4232012,0.6054,100.0,1204089977,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",Cardinal Health,10.0
PS0001723,DISTRIBUTOR,SMITH DRUG COMPANY,null,DIVISION JM SMITH CORP,9098 FAIRFOREST ROAD,SPARTANBURG,SC,29301,SPARTANBURG,BC8624997,RETAIL PHARMACY,COMMUNITY DRUG OF MANCHESTER,INC,1668 SOUTH HIGHWAY 421,P.O. BOX 405,MANCHESTER,KY,40962,CLAY,S,9143,52152021402,OXYCODONE,6.0,null,null,11X000003,null,null,1062011,8.0685,600.0,1103006741,OXYCODONE HYDROCHLORIDE TABLETS USP,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Smith Drug Company,15.0
RC0221236,DISTRIBUTOR,CARDINAL HEALTH,null,1240 GLUCKSTADT ROAD,null,MADISON,MS,39110,MADISON,BT1612806,RETAIL PHARMACY,THE DRUG STORE,null,153 HERNDON DRIVE,null,BELLS,TN,38006,CROCKETT,S,9143,406051201,OXYCODONE,1.0,null,null,113084852,null,null,10312011,0.44825,100.0,1110040159,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
PS0001723,DISTRIBUTOR,SMITH DRUG COMPANY,null,DIVISION JM SMITH CORP,9098 FAIRFOREST ROAD,SPARTANBURG,SC,29301,SPARTANBURG,AM0392744,RETAIL PHARMACY,MARCUMS PHARMACY INC,null,121 EAST RAVINE STREET,null,KINGSPORT,TN,37660,SULLIVAN,S,9193,591038505,HYDROCODONE,8.0,null,null,null,null,null,2012006,18.162,4000.0,603119588,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Smith Drug Company,7.5
RM0138328,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,4012 S PURDUE AVE,OKLAHOMA CITY,OK,73179,OKLAHOMA,FH0948262,RETAIL PHARMACY,HEREFORD PHARMACY,null,809 S 25 MILE AVE,null,HEREFORD,TX,79045,DEAF SMITH,S,9193,591050201,HYDROCODONE,1.0,null,null,null,null,null,8272008,0.45405,100.0,808030431,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,7.5
RW0204026,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREEN WAREHOUSE,2370 E MAIN STREET,WOODLAND,CA,95776,YOLO,BW7537434,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 06399,58133 29 PALMS HWY,null,YUCCA VALLEY,CA,92284,SAN BERNARDINO,S,9143,591093201,OXYCODONE,11.0,null,null,110067074,null,0,3112011,9.8615,1100.0,82791,OXYCODONE.HCL/APAP 10MG/325MG TABS,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,10.0
RW0165731,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,null,#28,801 COR-DA BOULEVARD,CRAWFORDSVILLE,IN,47933,MONTGOMERY,BW5593733,CHAIN PHARMACY,WAL-MART PHARMACY 10-1294,null,3240 SOUTH WESTERN,null,MARION,IN,46952,GRANT,S,9193,406036301,HYDROCODONE,1.0,null,null,null,null,null,10182006,0.6054,100.0,610024577,HYDROCODONE BIT/ACETA 10MG/500MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,10.0
RC0315108,DISTRIBUTOR,"CVS PHARMACY, INC.",null,225 HARPERS LANDING BLVD,null,CONROE,TX,77385,MONTGOMERY,FC1121401,CHAIN PHARMACY,"CVS PHARMACY, INC.",DBA: CVS/PHARMACY  # 02996,100 S. LHS DR.,null,LUMBERTON,TX,77657,HARDIN,S,9193,603388728,HYDROCODONE,1.0,null,null,null,null,null,10202009,3.0270000000000000,500.0,2013,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",CVS,10.0
RK0416900,DISTRIBUTOR,"CARDINAL HEALTH 110, LLC",DBA KINRAY,152-35 10TH AVENUE,null,WHITESTONE,NY,11357,QUEENS,BM5399894,RETAIL PHARMACY,MEDILANE PHARMACY CORP,null,204 CLINTON STREET,null,NEW YORK,NY,10002,NEW YORK,S,9143,59011041010,OXYCODONE,1.0,null,null,12X000023,null,null,5022012,0.8965,100.0,32037,OXYCONTIN 10MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Cardinal Health,10.0
RW0263056,DISTRIBUTOR,CARDINAL HEALTH,null,600 N 83RD AVE,null,TOLLESON,AZ,85353,MARICOPA,BS2868579,CHAIN PHARMACY,SMITHS FOOD & DRUG CENTER INC,null,DBA FRY'S FOOD AND DRUG #125,10450 NO 90TH STREET,SCOTTSDALE,AZ,85258,MARICOPA,S,9143,406055201,OXYCODONE,3.0,null,null,56637944,null,0,5042006,1.34475,300.0,605004724,OXYCODONE HYDROCHLORIDE TABLETS 5MG,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RA0223432,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,172 CAHABA VALLEY PKWY,null,PELHAM,AL,35124,SHELBY,BF7449209,RETAIL PHARMACY,FRED'S PHARMACY # 2791,null,13150 HWY 43,null,RUSSELLVILLE,AL,35654,FRANKLIN,S,9193,591054001,HYDROCODONE,1.0,null,null,null,null,null,6212006,0.6054,100.0,12461,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",AmerisourceBergen Drug,10.0
RW0191926,DISTRIBUTOR,CARDINAL HEALTH,null,7601 N.E. GARDNER AVENUE,null,KANSAS CITY,MO,64120,JACKSON,BD5909758,CHAIN PHARMACY,DILLON PHARMACY,null,1410 S. KANSAS AVENUE,null,NEWTON,KS,67114,HARVEY,S,9193,406036601,HYDROCODONE,2.0,null,null,null,null,null,11162011,0.9081,200.0,1111019034,HYDROCODONE BIT/ACETA 7.5MG/325MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,7.5
RE0161733,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,6810 SHADY OAK RD,null,EDEN PRAIRIE,MN,55344,HENNEPIN,BM0827850,RETAIL PHARMACY,HEALTHEAST PHARMACIES LLC-MAPLEWOOD,null,1655 BEAM AVE,null,MAPLEWOOD,MN,55109,RAMSEY,S,9143,406051201,OXYCODONE,6.0,null,null,72408625,null,null,9112007,2.6895,600.0,5284,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,AmerisourceBergen Drug,5.0
RW0133479,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,null,4501 WAL-MART WAY,null,TIFTON,GA,31794,TIFT,BW5384881,CHAIN PHARMACY,WAL-MART PHARMACY 10-1194,null,373 S ILLINOIS AVENUE,null,OAK RIDGE,TN,37830,ANDERSON,S,9193,406036701,HYDROCODONE,1.0,null,null,null,null,null,1192006,0.6054,100.0,601015780,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,10.0
RA0289098,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,1765 FREMONT DRIVE,null,SALT LAKE CITY,UT,84104,SALT LAKE,FS1473470,RETAIL PHARMACY,SANTAQUIN PHARMACY PLLC,DBA: SANTAQUIN PHARMACY AND DIABETES CENTER,390 E MAIN ST,null,SANTAQUIN,UT,84655,UTAH,S,9143,60951079670,OXYCODONE,2.0,null,null,93540013,null,null,11122009,1.34475,200.0,3064,ENDOCET TABS;7.5MG OXYCODONE.HCL & 5,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",AmerisourceBergen Drug,7.5
RC0182080,DISTRIBUTOR,CARDINAL HEALTH,null,2045 INTERSTATE DRIVE,null,LAKELAND,FL,33805,POLK,BC5289978,CHAIN PHARMACY,"HOLIDAY CVS, L.L.C.",DBA: CVS/PHARMACY  # 03887,14828 S MILITARY TRL,null,DELRAY BEACH,FL,33484,PALM BEACH,S,9143,53746020401,OXYCODONE,7.0,null,null,96248823,null,0,6222010,6.2755,700.0,1006052233,OXYCODONE HCL/ACETAMINOPHEN TABS 10M,OXYCODONE HYDROCHLORIDE,TAB,1.5,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",Cardinal Health,10.0
PF0031120,DISTRIBUTOR,FRANK W KERR INC,null,43155 W 9 MILE RD,null,NOVI,MI,48376,OAKLAND,BS7583708,RETAIL PHARMACY,STAR DRUGS INC,null,1525 OPDYKE,null,BLOOMFIELD HILLS,MI,48304,OAKLAND,S,9143,406059301,OXYCODONE,1.0,null,null,09X222035,null,null,1122009,0.8965,100.0,4978,OXYCODONE HYDROCHLORIDE TABS. 10MG,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Frank W Kerr Inc,10.0
PM0003094,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,2700 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,ERIE,AB5946617,RETAIL PHARMACY,BROCKWAY DRUG COMPANY INC,null,1365 MAIN STREET,null,BROCKWAY,PA,15824,JEFFERSON,S,9143,60951071270,OXYCODONE,3.0,null,null,09X000061,null,null,8172009,2.6895,300.0,908042221,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,10.0
PR0040357,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO,2975 EVERGREEN DR,DULUTH,GA,30096,GWINNETT,BC4014534,RETAIL PHARMACY,CAJAHS MOUNTAIN DISCOUNT DRUG,null,2006 CONNELLY SPRINGS ROAD,null,LENOIR,NC,28645,CALDWELL,S,9143,603499021,OXYCODONE,6.0,null,null,12X000014,null,null,3022012,2.6895,600.0,1203051484,OXYCODONE HCI 5MG TABLETS,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,5.0
RW0161872,DISTRIBUTOR,WALGREEN EASTERN CO INC,null,DBA WALGREENS WAREHOUSE,125 N COMMERCE WAY,BETHLEHEM,PA,18017,NORTHAMPTON,BW2467098,CHAIN PHARMACY,"WALGREEN EASTERN CO., INC.",DBA: WALGREENS # 09447,550 AMHERST ST,null,NASHUA,NH,3063,HILLSBOROUGH,S,9193,591038505,HYDROCODONE,1.0,null,null,null,null,0,5202008,2.27025,500.0,15111,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,7.5
RH0211374,DISTRIBUTOR,HY-VEE,null,1802 OSCEOLA AVENUE,null,CHARITON,IA,50049,LUCAS,BH1985881,CHAIN PHARMACY,HYVEE PHARMACY,null,9707 Q ST,null,OMAHA,NE,68127,DOUGLAS,S,9193,591034905,HYDROCODONE,1.0,null,null,null,null,null,2252009,1.5135,500.0,2712,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Hy-Vee,5.0
RA0290938,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,19220 64TH AVENUE SOUTH,null,KENT,WA,98032,KING,BU1419109,CHAIN PHARMACY,BI-MART CORP,DBA BI-MART PHARMACY #682,1030 SE OAR AVE,null,LINCOLN CITY,OR,97367,LINCOLN,S,9193,591050301,HYDROCODONE,1.0,null,null,null,null,null,5022008,0.6054,100.0,11710,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",AmerisourceBergen Drug,10.0
RW0277752,DISTRIBUTOR,WALGREEN CO,null,15998 WALGREENS DRIVE,null,JUPITER,FL,33478,PALM BEACH,BW7758759,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 06292,5405 66TH STREET N,null,ST PETERSBURG,FL,33709,PINELLAS,S,9193,591320201,HYDROCODONE,1.0,null,null,null,null,0,11012006,0.3027,100.0,18831,HYDROCODONE BITARTRATE AND ACETA 5MG,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,5.0
RW0282145,DISTRIBUTOR,WAL-MART PHARMACY WHSE #45,null,2250 NORTH 8TH STREET,SUITE 102-A,ROGERS,AR,72756,BENTON,BW6621254,CHAIN PHARMACY,WAL-MART PHARMACY 10-2772,null,1675 NORTH HOWE STREET,null,SOUTHPORT,NC,28461,BRUNSWICK,S,9143,60951079770,OXYCODONE,1.0,null,null,66458700,null,null,4192007,0.8965,100.0,704039174,ENDOCET TABS - 10MG OXYCODONE.HCL &,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Wal-Mart,10.0
RS0261379,DISTRIBUTOR,SMITH'S FOOD & DRUG CTR'S INC,null,D/B/A PEYTON'S PHOENIX,5305 W BUCKEYE RD,PHOENIX,AZ,85043,MARICOPA,AK5541114,CHAIN PHARMACY,KING SOOPERS PHARMACY,null,DIV OF DILLON COMPANIES INC,1575 W 84TH AVE,FEDERAL HEIGHTS,CO,80221,ADAMS,S,9193,406036201,HYDROCODONE,1.0,null,null,null,null,null,8102007,0.6054,100.0,2335,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Smith's Food & Drug Ctr's Inc,10.0
